auc_mean,collapse_count,first_solve_ep(avg100>=thr),last100_mean,last100_std,n_seeds,spike_count,stability_last100,variant
279.35101318359375,1953.0,4139.0,455.80999755859375,114.21695709228516,1,2554.0,0.7494198076973453,FULL
191.22059631347656,2291.0,4819.0,454.3699951171875,117.75709533691406,1,2419.0,0.7408343501040877,NoSpike
164.0684051513672,2566.0,-1.0,441.2900085449219,113.76970672607422,1,2244.0,0.7421883471973484,NoEventUpd
169.39259338378906,2496.0,-1.0,310.19000244140625,182.91690063476562,1,2232.0,0.4103069131648598,NoCollapse
101.07479858398438,2792.0,-1.0,175.35000610351562,151.70156860351562,1,1968.0,0.13486420041055058,Vanilla
